"CN","type","plat","TP"
"C_248","Solid tumor","Agilent","Solid tumor_Agilent"
"C_249","Solid tumor","Agilent","Solid tumor_Agilent"
"C_250","Solid tumor","Agilent","Solid tumor_Agilent"
"C_251","Solid tumor","Agilent","Solid tumor_Agilent"
"C_252","Solid tumor","Agilent","Solid tumor_Agilent"
"C_253","Solid tumor","Agilent","Solid tumor_Agilent"
"C_254","Solid tumor","Agilent","Solid tumor_Agilent"
"C_255","Solid tumor","Agilent","Solid tumor_Agilent"
"C_256","Solid tumor","Agilent","Solid tumor_Agilent"
"C_257","Solid tumor","Agilent","Solid tumor_Agilent"
"C_258","Solid tumor","Agilent","Solid tumor_Agilent"
"C_259","Solid tumor","Agilent","Solid tumor_Agilent"
"C_260","Solid tumor","Agilent","Solid tumor_Agilent"
"C_261","Solid tumor","Agilent","Solid tumor_Agilent"
"C_262","Solid tumor","Agilent","Solid tumor_Agilent"
"C_263","Solid tumor","Agilent","Solid tumor_Agilent"
"C_264","Solid tumor","Agilent","Solid tumor_Agilent"
"C_265","Solid tumor","Agilent","Solid tumor_Agilent"
"C_266","Solid tumor","Agilent","Solid tumor_Agilent"
"C_267","Solid tumor","Agilent","Solid tumor_Agilent"
"C_268","Solid tumor","Agilent","Solid tumor_Agilent"
"C_269","Solid tumor","Agilent","Solid tumor_Agilent"
"C_270","Solid tumor","Agilent","Solid tumor_Agilent"
"C_271","Solid tumor","Agilent","Solid tumor_Agilent"
"C_272","Solid tumor","Agilent","Solid tumor_Agilent"
"C_273","Solid tumor","Agilent","Solid tumor_Agilent"
"C_274","Solid tumor","Agilent","Solid tumor_Agilent"
"C_275","Solid tumor","Agilent","Solid tumor_Agilent"
"C_276","Solid tumor","Agilent","Solid tumor_Agilent"
"C_277","Solid tumor","Agilent","Solid tumor_Agilent"
"C_278","Solid tumor","Agilent","Solid tumor_Agilent"
"C_279","Solid tumor","Agilent","Solid tumor_Agilent"
"C_280","Solid tumor","Agilent","Solid tumor_Agilent"
"C_281","Solid tumor","Agilent","Solid tumor_Agilent"
"C_282","Solid tumor","Agilent","Solid tumor_Agilent"
"C_283","Solid tumor","Agilent","Solid tumor_Agilent"
"C_284","Solid tumor","Agilent","Solid tumor_Agilent"
"C_285","Solid tumor","Agilent","Solid tumor_Agilent"
"C_286","Solid tumor","Agilent","Solid tumor_Agilent"
